ticker,name,value
DELTAMAGNT,Dividend Yield,0.00
DELTAMAGNT,ROCE,-9.97
DELTAMAGNT,ROE,-32.3
DELTAMAGNT,Face Value,10.0
ACL,Face Value,
SUPREMEENG,Market Cap,
SUPREMEENG,Current Price,
SUPREMEENG,High / Low,
SUPREMEENG,Stock P/E,
SUPREMEENG,Book Value,
SUPREMEENG,Dividend Yield,
SUPREMEENG,ROCE,
SUPREMEENG,ROE,
SUPREMEENG,Face Value,
URAVI,Market Cap,
URAVI,Current Price,
URAVI,High / Low,
URAVI,Stock P/E,
URAVI,Book Value,
URAVI,Dividend Yield,
URAVI,ROCE,
URAVI,ROE,
URAVI,Face Value,
RCOM,Market Cap,608
RCOM,Current Price,2.20
RCOM,High / Low,"2.49,1.00"
RCOM,Stock P/E,
RCOM,Book Value,-282
RCOM,Dividend Yield,0.00
RCOM,ROCE,
RCOM,ROE,
RCOM,Face Value,5.00
MAZDOCK,Market Cap,"42,787"
MAZDOCK,Current Price,"2,121"
MAZDOCK,High / Low,"2,485,612"
MAZDOCK,Stock P/E,32.2
MAZDOCK,Book Value,268
MAZDOCK,Dividend Yield,0.75
MAZDOCK,ROCE,32.7
MAZDOCK,ROE,26.0
MAZDOCK,Face Value,10.0
DHUNINV,Market Cap,732
DHUNINV,Current Price,"1,200"
DHUNINV,High / Low,"1,399,555"
DHUNINV,Stock P/E,5.29
DHUNINV,Book Value,"4,040"
DHUNINV,Dividend Yield,0.21
DHUNINV,ROCE,23.3
DHUNINV,ROE,13.9
DHUNINV,Face Value,10.0
AXITA,Market Cap,
AXITA,Current Price,
AXITA,High / Low,
AXITA,Stock P/E,
AXITA,Book Value,
AXITA,Dividend Yield,
AXITA,ROCE,
AXITA,ROE,
AXITA,Face Value,
SIKKO,Market Cap,
SIKKO,Current Price,
SIKKO,High / Low,
SIKKO,Stock P/E,
SIKKO,Book Value,
SIKKO,Dividend Yield,
SIKKO,ROCE,
SIKKO,ROE,
SIKKO,Face Value,
ASTEC,Market Cap,"2,176"
ASTEC,Current Price,"1,109"
ASTEC,High / Low,"1,815,1,045"
ASTEC,Stock P/E,
ASTEC,Book Value,201
ASTEC,Dividend Yield,0.14
ASTEC,ROCE,7.82
ASTEC,ROE,6.36
ASTEC,Face Value,10.0
UCAL,Market Cap,310
UCAL,Current Price,140
UCAL,High / Low,"164,105"
UCAL,Stock P/E,
UCAL,Book Value,175
UCAL,Dividend Yield,1.43
UCAL,ROCE,4.55
UCAL,ROE,0.27
UCAL,Face Value,10.0
JTLIND,Market Cap,"4,129"
JTLIND,Current Price,241
JTLIND,High / Low,"253,141"
JTLIND,Stock P/E,37.4
JTLIND,Book Value,28.0
JTLIND,Dividend Yield,0.04
JTLIND,ROCE,34.5
JTLIND,ROE,30.1
JTLIND,Face Value,2.00
MITCON,Market Cap,124
MITCON,Current Price,92.1
MITCON,High / Low,"105,53.0"
MITCON,Stock P/E,37.5
MITCON,Book Value,79.0
MITCON,Dividend Yield,0.00
MITCON,ROCE,5.35
MITCON,ROE,4.37
MITCON,Face Value,10.0
OLECTRA,Market Cap,"10,089"
OLECTRA,Current Price,"1,229"
OLECTRA,High / Low,"1,465,374"
OLECTRA,Stock P/E,130
OLECTRA,Book Value,106
OLECTRA,Dividend Yield,0.03
OLECTRA,ROCE,13.3
OLECTRA,ROE,8.11
OLECTRA,Face Value,4.00
BPCL,Market Cap,"96,890"
BPCL,Current Price,447
BPCL,High / Low,"482,314"
BPCL,Stock P/E,3.34
BPCL,Book Value,327
BPCL,Dividend Yield,4.70
BPCL,ROCE,6.86
BPCL,ROE,6.34
BPCL,Face Value,10.0
VERANDA,Market Cap,"2,076"
VERANDA,Current Price,300
VERANDA,High / Low,"337,155"
VERANDA,Stock P/E,
VERANDA,Book Value,62.0
VERANDA,Dividend Yield,0.00
VERANDA,ROCE,-25.2
VERANDA,ROE,-60.5
VERANDA,Face Value,10.0
PARAGMILK,Market Cap,"2,786"
PARAGMILK,Current Price,237
PARAGMILK,High / Low,"263,68.0"
PARAGMILK,Stock P/E,35.6
PARAGMILK,Book Value,72.8
PARAGMILK,Dividend Yield,0.00
PARAGMILK,ROCE,8.72
PARAGMILK,ROE,7.88
PARAGMILK,Face Value,10.0
CAREERP,Market Cap,359
CAREERP,Current Price,198
CAREERP,High / Low,"264,118"
CAREERP,Stock P/E,16.1
CAREERP,Book Value,278
CAREERP,Dividend Yield,1.01
CAREERP,ROCE,3.05
CAREERP,ROE,2.43
CAREERP,Face Value,10.0
MANGCHEFER,Market Cap,"1,448"
MANGCHEFER,Current Price,122
MANGCHEFER,High / Low,"127,72.4"
MANGCHEFER,Stock P/E,24.9
MANGCHEFER,Book Value,36.0
MANGCHEFER,Dividend Yield,1.23
MANGCHEFER,ROCE,17.1
MANGCHEFER,ROE,14.3
MANGCHEFER,Face Value,10.0
THYROCARE,Market Cap,"3,578"
THYROCARE,Current Price,676
THYROCARE,High / Low,"690,415"
THYROCARE,Stock P/E,55.2
THYROCARE,Book Value,91.9
THYROCARE,Dividend Yield,2.66
THYROCARE,ROCE,15.8
THYROCARE,ROE,11.4
THYROCARE,Face Value,10.0
DJML,Market Cap,
DJML,Current Price,
DJML,High / Low,
DJML,Stock P/E,
DJML,Book Value,
DJML,Dividend Yield,
DJML,ROCE,
DJML,ROE,
DJML,Face Value,
MOIL,Market Cap,"6,233"
MOIL,Current Price,306
MOIL,High / Low,"330,141"
MOIL,Stock P/E,60.0
MOIL,Book Value,114
MOIL,Dividend Yield,1.20
MOIL,ROCE,11.4
MOIL,ROE,8.31
MOIL,Face Value,10.0
